,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
0,0,246.777670248,-24.5242355237,290480.519185,0.250203477999,0.12565619517,0.177312202241,139.669100255,0.24248649685,3.62531665885,0.169826069243,0.415215616189,0.852028618949,0.267969761199,0.464080711784,0.876880645602,0.148428290426,0.406932514714,0.848022895394,0.957862198766,202.777186283,0.0120459282916,11.8382724534,35.5061668465,126.76452149,4.07541011241e-05,0.000122232523359,0.000436395947809,493021.598812,33.3825656209,100.12330341,357.461358799,6.7710148402e-05,0.000203080967753,0.000725041985302,False,False,True,0,6.23978137096e-12,16,50,13.9491917489,20.0555898872
1,1,246.873858995,-24.6993260401,10051.3298364,0.0999106933258,0.0327396578263,0.0571930232867,118.686898611,0.056460214016,3.76513510617,0.14759342869,0.387765927759,0.846731532743,0.2532642178,0.439000408378,0.871385811432,0.122760906742,0.379010335957,0.842757799473,4.5453540252,350.589749174,0.00594721740975,3.41089895099,10.2482811553,40.3777533977,0.000339348027226,0.00101959455336,0.00401715534707,42722.2215551,29.8191873325,89.5938050341,352.995444875,0.000697978387992,0.0020971242078,0.00826257231076,False,False,True,1,2.94455223026e-11,3,6,13.7518192321,18.6895780122
2,2,246.877905523,-24.69995279,7133.88387499,0.0972830276302,0.0265182167495,0.0507914600375,118.782674158,0.0491871187178,3.81722678288,0.14616274769,0.368282273714,0.74056136931,0.252017196904,0.421640785332,0.768492199334,0.121174356091,0.359098188374,0.736037239191,4.1000610413,344.465740198,0.00423088974596,2.99936403232,8.39564473228,27.8899510931,0.000420439144354,0.00117686871267,0.00390950449739,31140.9052707,29.526263176,82.6481924922,274.553547708,0.000948150444548,0.0026540073827,0.00881649217714,False,False,True,2,3.86855249358e-11,1,6,13.6836995716,18.5047201091
3,3,246.886860018,-24.7025877499,3216.43492348,0.0783950441611,0.021020048166,0.04059393556,122.018167316,0.0324290073864,3.81263775514,0.142651437429,0.322294405788,0.692608060853,0.249264883369,0.381650669438,0.722142281991,0.117162487125,0.311851406588,0.687810687433,4.21236972495,344.501845478,0.00277657104274,2.34510063722,5.4975772869,19.682707319,0.000729099357834,0.00170921452406,0.00611941723903,17423.220619,28.8848642645,67.7142682899,242.434085873,0.00165783725616,0.00388643809147,0.0139144243865,False,False,True,5,6.78499774387e-11,1,3,13.5650176194,18.1931574243
4,4,246.763545893,-24.4901004959,148387.940571,0.19210778753,0.115836300444,0.149174580254,120.386791009,0.185351459559,3.6326575656,0.178254335666,0.370365786804,0.876659761404,0.273661352912,0.424601865198,0.9009152375,0.157927362504,0.361022519629,0.87275356253,0.936794720132,170.381739643,0.00833861791995,10.3872334513,25.0055694009,112.574705057,7.00005230295e-05,0.000168514835536,0.000758651306998,328016.668267,34.8156952531,83.8131046131,377.325362221,0.000106140018546,0.000255514773246,0.00115032374487,False,False,True,4,1.02127115013e-11,13,43,13.9975738977,20.4683563271
5,5,246.886575265,-24.7028005887,3893.27616447,0.0789594979112,0.0225541396934,0.0422002789802,121.760142432,0.0363279863091,3.80444959595,0.14374354866,0.325868849606,0.716538440403,0.250163805382,0.384850917739,0.745216115175,0.118398654012,0.315509969151,0.711887189143,4.30155178066,346.070816287,0.00306419070298,2.45551391624,5.81136968669,21.790034926,0.000630706328682,0.00149266824165,0.0055968377288,20938.8636485,29.0935744453,68.8546358831,258.174062501,0.00138945335973,0.00328836545474,0.0123298984527,False,False,True,5,5.89169450989e-11,1,3,13.6092259058,18.2575956196
6,6,246.88768111,-24.7023773569,1793.47991228,0.0756841828864,0.0179717393851,0.036880569551,123.194869163,0.0236188146282,3.83974371941,0.139262155752,0.305131975426,0.576530288853,0.246269898709,0.366552093723,0.611262700441,0.113381429164,0.294222573713,0.570831476374,3.89470556624,334.357053911,0.00211899465467,2.07968907977,4.60730705529,12.8124309932,0.00115958314645,0.0025689203563,0.00714389433942,10063.1435116,28.1949154404,62.4625258148,173.701642209,0.00280179999501,0.00620705903111,0.0172611711251,False,False,True,5,1.0003921096e-10,1,3,13.3933965789,18.0035809041
7,7,246.733703367,-24.6384846307,1.33248810024,0.00877309284308,0.00563253657357,0.00702956373483,118.052232678,0.000674823275092,3.83371020707,0.464523862693,0.341851350796,0.740919627041,0.524297801155,0.419485531724,0.779786931809,0.454328726189,0.327863566855,0.734570667917,4.79127375126,346.910455951,9.47038690829e-05,1.79664624532,1.15011289889,3.97427950306,1.34833942982,0.863131834857,2.9826003717,64.4989864123,127.792158453,81.8054250784,282.683225658,1.98130490976,1.26832109509,4.38275454208,False,True,False,7,1.24024206227e-09,0,0,19.1886701217,21.0271227157
8,8,246.764675233,-24.4897518544,136498.566608,0.187276799805,0.116278776335,0.147568008448,119.842714544,0.182089813729,3.64179685657,0.178046100907,0.360430535727,0.882840326342,0.273495556148,0.415944198504,0.9069214117,0.157700591056,0.350826500504,0.878963084656,0.916875308103,168.707374412,0.00798646698649,10.2629188061,23.7378011356,112.852102714,7.51870079011e-05,0.000173905131207,0.000826764013119,309518.33983,34.7735221001,80.4300382761,382.373198301,0.00011234721057,0.000259855484881,0.00123538139456,False,False,True,8,1.10403775746e-11,13,43,13.9922098047,20.4444087002
9,9,246.855373685,-24.6829687081,88.2855453733,0.0177836331768,0.0109687410173,0.0139665338099,100.543209429,0.00382399855885,4.12373403121,0.127627989696,0.156992587937,0.360974578835,0.23575518232,0.252860188452,0.411818223009,0.100306902998,0.135717514354,0.352243122858,6.72471445675,5.99901828964,0.000524700059633,0.721754103596,0.830285933282,2.20230713696,0.00817522393438,0.00940455121811,0.0249452741969,2108.19795905,25.8386981845,29.7241228419,78.8422942634,0.0122562959866,0.0140993034901,0.0373979558821,False,True,False,5,6.63448176583e-10,0,3,12.7560076458,18.8963376071
