,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3
10,10,83.8440185749,-5.112204951,705199.220684,0.670578264487,0.169463649419,0.337103307491,174.279143888,1.02004801375,11.1340289808,0.473796087205,0.532668615659,0.463779634904,0.731665868162,74.8636650497,0.0332582056539,88.931447422,0.000126108261061,446585.509397,131.905332054,0.000295364111191,False,False,True,10,2.23207119383e-11
11,11,83.8402982754,-5.10623511525,889270.502432,0.694235317922,0.204464503439,0.37675785267,170.985252237,1.19973618699,11.1236226651,0.485553581117,0.540218441375,0.476313987858,1.61135857149,85.2770910286,0.0914906706052,102.230209944,0.000114959632265,543963.123577,135.670974367,0.0002494120805,False,False,True,11,1.92766939132e-11
12,12,83.8403567146,-5.10642089909,869477.722059,0.694046340241,0.204080768393,0.376352906747,170.994222608,1.18113210845,11.1242154669,0.483778876326,0.538893904399,0.474456132737,1.57523023522,85.069374202,0.0892471959081,101.620176662,0.000116874963077,532000.776744,135.006499007,0.000253771244157,False,False,True,12,1.94502528599e-11
13,13,83.8821689189,-5.01155208559,2.39671731887,0.0153418556673,0.0106456093907,0.0127798044884,179.6009509,0.00272254807941,13.0949232039,0.125478920295,0.156384041337,0.119851277888,1.18016243848,89.6404603434,7.7099258106e-05,0.290594374492,0.12124682882,66.3408753212,11.3692809133,0.17137670943,False,False,False,13,1.31951485607e-08
14,14,83.8777747577,-5.01836393172,0.0465332085797,2.4962427103e-15,1.3443197355e-31,1.83187017554e-23,165.963756532,0.000453758013235,12.6421776952,0.340028145945,0.340028145945,0.340028145945,2.00490084908e+11,345.963756532,2.69117707849e-35,1.96925771413e-21,4.23194053072e-20,7.91623112629e+12,53.749925634,6.78983783779e-12,False,False,False,14,1.32006400718e-21
15,15,83.8764837911,-4.98312657548,1876.35301551,0.0860060947638,0.0433123133482,0.0610337851216,144.711836116,0.0603498157603,11.8270521585,0.391446025511,0.45939053755,0.379562358574,7.60752371095,259.111652372,0.0113355843951,11.9760203082,0.00638260509038,9264.61970799,98.1097623579,0.0105897236422,False,False,True,9,3.80136175437e-10
16,16,83.8260784535,-4.94306592131,300.955506976,0.0834431904871,0.0313109624642,0.0511144461501,118.628436905,0.0408382211912,12.2022427312,0.402275450942,0.471550180995,0.390168349163,31.5094772046,67.4419843756,0.0329297556122,10.5676305014,0.0351135973806,1531.62931271,103.372248918,0.0674916887919,False,False,True,16,1.65998404717e-09
17,17,83.8438876117,-5.11168536243,755972.158865,0.671040667875,0.170547542457,0.338296226398,174.263288093,1.0695076372,11.1318607465,0.478665049291,0.536066335274,0.468922731169,0.84956303051,80.0327204702,0.0388910710368,90.3883276286,0.000119565683165,478408.884642,133.593461256,0.000279245360077,False,False,True,17,2.143650603e-11
18,18,83.8235780251,-4.94161639732,12.1802223539,0.0258903663069,0.0165350545398,0.0206905441915,141.267130119,0.00726012821176,12.5090424124,0.252323333552,0.363979621946,0.229696620782,3.29410238388,288.761434933,0.000564080272473,2.54861468471,0.209242049173,199.783352906,61.5888751191,0.308278313599,False,True,False,16,1.18369173762e-08
19,19,83.8038502848,-4.91025770984,0.500356400205,0.012638708521,0.012166837165,0.0124005285593,9.63615221849,0.00226879006618,12.5881664372,0.241982594324,0.359001051195,0.217736987336,484.756672028,142.0526219,0.0298170161392,1.48596905682,2.96982122385,16.8119866798,59.9155531843,3.56385918723,False,False,False,19,4.64143320622e-08
20,20,83.911064628,-5.10102124576,565.963904515,0.0804757186327,0.0365237895817,0.0542151105669,155.463743416,0.0431070112573,11.6408121484,0.485401532239,0.532798983541,0.477457617331,12.3037038863,235.73888343,0.0144656035127,14.3095261173,0.0252834606645,2986.52494472,131.969906247,0.0441884493482,False,False,True,20,2.37378355133e-10
21,21,83.8439119888,-5.11172413625,748049.443889,0.670999475763,0.17039819787,0.338137695978,174.264864092,1.06179375097,11.1321230622,0.478324759152,0.535859746119,0.46855774217,0.822140125171,80.1436980821,0.0376004475563,90.2763487618,0.000120682328554,473424.140656,133.490512645,0.00028196811523,False,False,True,21,2.1600562017e-11
22,22,83.7309014857,-5.40220124589,171.839359755,0.0909710980171,0.0375977126243,0.0584833754187,125.023301232,0.0304017868868,11.4021375762,0.48379379576,0.511700940518,0.479221543198,22.392297136,236.424220267,0.030635396137,14.2378033212,0.0828553094091,802.160892683,121.725218656,0.15174663807,False,False,True,22,6.82624510312e-10
23,23,83.8077071674,-5.35192111481,12547366.0452,0.27518612965,0.110824553379,0.174634990522,8.97810264125,0.475084639857,8.86696319253,1.24841491622,1.27798299985,1.24366405685,4.0006600998,47.2353731887,0.0488038603891,265.191467751,2.11352300393e-05,19362806.4247,759.27357673,3.92129921705e-05,False,False,True,23,6.19545997182e-13
24,24,83.918542283,-5.11499200142,9.96705510476,0.0197672777487,0.0174782066185,0.0185875378891,8.39173054981,0.00544509615882,12.4002263165,0.18355099275,0.260102985496,0.168250248479,77.9767852667,307.810264334,0.0107762845768,1.16920501533,0.117306968111,214.122482943,31.4513149162,0.146884691808,False,True,False,20,9.22177261541e-10
25,25,83.8733222206,-4.9777481294,132.463483967,0.0452693087738,0.0182778076121,0.0287649737789,1.33185508787,0.0122514663574,11.8960428611,0.306789658115,0.391394503436,0.291131882234,3.06856628902,124.463286455,0.00101560180927,4.09705275131,0.0309296768332,1242.60926136,71.216000105,0.0573116604868,False,True,False,9,2.30277633029e-09
26,26,83.7251169594,-5.39911854839,51.5011643491,0.0629512789053,0.0265989304234,0.0409198813252,148.737094601,0.0186040785426,11.5177536261,0.386717957356,0.433687345075,0.378739269529,35.7602786807,218.343202609,0.0239513290337,7.15592851489,0.138946926838,347.419960186,87.4382852924,0.25167893418,False,True,False,22,1.62012368178e-09
27,27,83.8080114215,-5.35129776905,11561244.3368,0.269571623324,0.107331761843,0.17009878681,9.21179795865,0.436968966746,8.87182992552,1.23978986099,1.2698243329,1.23496256146,3.91081274175,41.5404560758,0.0452615523538,255.015533275,2.20577929024e-05,18212630.715,749.610088519,4.11588034836e-05,False,False,True,27,6.53808494143e-13
28,28,83.8425638475,-5.11789954714,571958.84727,0.656205140014,0.153097297885,0.316959356692,172.255878184,0.892542012034,11.1056221376,0.450053293379,0.512679505959,0.43930863968,0.966640929703,75.9207426381,0.0388447494864,77.4593092115,0.000135428116168,370141.201457,122.191233002,0.000330120593226,False,False,True,28,2.55015828404e-11
