,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3
10,10,52.3443752979,31.276013533,0.215200933728,0.00836847143701,0.00807350034292,0.00821966282863,83.015324474,0.000894829567047,8.90473975791,0.155443942346,0.155443942346,0.155443942346,2.82832544687,96.9804144319,7.6435899105e-05,0.184662935973,0.858095421677,10.920443825,11.2329994443,1.0286211462,False,False,False,10,5.62898194546e-22
11,11,52.2649370757,31.2662837827,117024.783202,0.210373760643,0.129605707699,0.165123105983,162.835624055,0.264153688192,7.8404220115,0.516599608644,0.550110156508,0.511086757736,1.29016350475,27.4913930995,0.0140708535315,46.4606524415,0.000397015496805,236226.46485,140.684891327,0.000595550932096,False,False,True,11,3.35428358991e-11
12,12,52.2641578498,31.2648675119,230262.982611,0.220389140512,0.141244670907,0.176433533159,167.173120542,0.41734851007,7.84747609944,0.536172794665,0.56153811659,0.532041568321,0.854801793031,7.18296684665,0.0106435787577,51.7270536371,0.000224643375373,443686.495796,146.590766253,0.000330392670595,False,False,True,12,2.90118722002e-11
13,13,52.2650409667,31.2665134798,124792.057247,0.211147119143,0.130610286423,0.16606620881,163.307470137,0.274891642997,7.84153166524,0.518103032264,0.551157298871,0.512668557401,1.27502799547,27.4365658718,0.0140650815349,46.9040696208,0.000375857812233,250982.857717,141.220992389,0.00056267186402,False,False,True,13,3.17806557818e-11
14,14,52.2773337518,31.2752072573,55601.5088881,0.224507358324,0.0731836815655,0.128180634343,157.605067334,0.165006572163,7.90204830941,0.505846469034,0.543415976293,0.499632692979,2.35867175144,49.2448405546,0.0155014502239,35.1937342164,0.000632963653687,105171.549788,137.281791421,0.0013053130024,False,False,True,14,5.17626669055e-11
15,15,52.2794245536,31.2728700216,48986.4310609,0.214540090694,0.0702071802109,0.122728378177,159.873050712,0.150689299091,7.8902195022,0.507035193457,0.545600017017,0.500650305565,2.81433085763,55.9387089506,0.0169560673987,33.9681483969,0.000693419538048,96963.7974976,138.387506222,0.00142720798683,False,False,True,15,5.67143968054e-11
16,16,52.1479806455,31.263242964,14624.8783125,0.246443527045,0.0436568785695,0.10372538327,13.5378857219,0.139951344286,7.80690636707,0.465451511712,0.485142996014,0.462253552869,1.80994512809,5.77251959183,0.00778924737158,22.698790084,0.00155206693682,25200.9621156,109.417720949,0.00434180728686,False,False,True,16,8.03721858971e-11
17,17,52.2650326142,31.2663033313,130052.111057,0.211909102172,0.130785375537,0.166477060003,163.681352347,0.2829451091,7.84035868685,0.518810782107,0.551259009583,0.513479763781,1.26974720416,27.6767962536,0.0140762201903,47.0374670557,0.000361681688005,260621.398425,141.273119116,0.000542062624057,False,False,True,17,3.05914037728e-11
18,18,52.1840565234,31.3995493999,30.0376211174,0.0415159658689,0.0237494244939,0.0314003231941,19.8324789844,0.00841139793024,8.42308038991,0.231818760127,0.253372619061,0.228215823076,111.128909601,134.065435235,0.0438283661038,1.87426764467,0.0623973395677,307.250546987,29.8447190031,0.097134795351,False,False,True,18,3.26804037838e-10
19,19,52.1800584302,31.3905619345,4.4855063734,0.0227726645059,0.0117124137995,0.0163316523968,98.0433982257,0.00322138644137,8.52794876524,0.220154660689,0.234517475362,0.217791319655,62.5101150233,91.1581171479,0.00666915091344,0.835138830206,0.186186075926,83.6449846982,25.5681057225,0.30567410365,False,False,True,18,1.11552128863e-10
