,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
16,16,246.760235871,-24.4905703809,213138.88213,0.205742705255,0.113607809509,0.152885506397,121.309900145,0.182089813729,3.60566458272,0.379524275496,0.393156766669,0.427136252687,0.371418223538,0.395990315952,148.105700239,0.00370234758383,25.9344660579,0.000121678718584,439926.895239,84.8166273867,0.000192797094937,False,False,True,16,7.0704870866e-12,13,43,12.4687252492,20.4444087002
17,17,246.854636469,-24.6818619341,138.28694947,0.0197231286567,0.0126462591213,0.015793156609,111.5415742,0.00382399855885,4.14026415459,0.230519777124,0.203878507594,0.307035931113,0.215917339514,8.81232490323,3.13534518137,0.000879201410436,1.38428487821,0.0100102351199,2977.4718536,43.8254654367,0.0147190192189,False,True,False,1,4.23560461208e-10,0,3,13.3533933586,18.8963376071
18,18,246.761513484,-24.4903392425,206429.178873,0.202494151193,0.113784493068,0.151791614863,121.072281121,0.17864071699,3.61188390031,0.37758708232,0.380644740653,0.425267627273,0.369465587134,0.389189391031,145.447440099,0.00358687752005,25.5241070885,0.000123645829664,432913.249097,84.076143177,0.000194210141067,False,False,True,18,7.25631211585e-12,13,42,12.4277698437,20.4157463017
19,19,246.759980681,-24.4908594691,216993.100326,0.206219894625,0.113907864687,0.153264698651,121.494574909,0.183889342463,3.60440338897,0.381340364174,0.395967000509,0.428598876019,0.373301388857,0.392072048465,147.177762432,0.00368391960862,26.1771474802,0.000120635851743,446845.758878,85.3984893802,0.000191114020181,False,False,True,19,6.97455282288e-12,13,43,12.4264625134,20.4630809442
20,20,246.772315896,-24.6547566182,36.4883189632,0.0169231500593,0.0075994787363,0.0113405078822,94.4333646984,0.00209945018917,4.38173858325,0.32097490197,0.312026333661,0.361995271101,0.31398185906,18.7591303217,247.154327824,0.000965023082451,1.38170849508,0.0378671458247,915.61927427,60.9191629434,0.0665332902609,False,False,True,1,3.83245025539e-10,0,1,9.09528544789,18.5946949779
21,21,246.769875024,-24.6547048736,15.9812690274,0.0112445573029,0.00774261250439,0.00933071540558,96.4349407354,0.00138713673213,4.48857578993,0.187652172218,0.130035701407,0.247656443282,0.176276631737,2.38463508536,207.987739969,8.30446783648e-05,0.532098867878,0.03329515741,603.54711242,28.5132942518,0.0472428641692,False,True,False,1,5.57881419224e-10,0,1,8.47997279456,18.7911402771
22,22,246.729396764,-24.6144784559,15.5120659152,0.0133676700343,0.00762374203025,0.0100951309,61.5392495964,0.00161207782383,4.41881291428,0.371235900536,0.203223784152,0.403058184849,0.365938336834,6.46557539222,265.832970081,0.000263567028829,1.52484455297,0.098300546252,492.783548498,75.5237632913,0.15325950617,False,True,False,22,4.85251952516e-10,0,0,7.99930627814,20.2124715459
23,23,246.762522867,-24.4903092468,197163.623499,0.199976884515,0.114016082361,0.150998612362,120.915587422,0.1738419737,3.61652055453,0.375033368244,0.374025210036,0.422710923964,0.366908490068,0.372185850497,143.786302973,0.00339442144287,25.0863817837,0.000127236360027,418686.799897,83.0682527189,0.00019840189072,False,False,True,23,7.50957502825e-12,12,42,12.3478890892,20.370108177
24,24,246.763758709,-24.4902269154,182137.685094,0.196558898031,0.114394468746,0.149950827665,120.660894756,0.165744094399,3.62254006608,0.369809302311,0.367961415203,0.417854114771,0.361608989797,0.368009007738,144.31224474,0.00330990992212,24.3431268509,0.000133652334707,393504.207018,81.1703650787,0.000206275723692,False,False,True,24,7.92941791644e-12,11,41,12.2857651619,20.3045363895
25,25,246.763468287,-24.4901662794,185173.546585,0.197374122705,0.114275246537,0.150183143302,120.694903149,0.167393662405,3.62102731884,0.371271556547,0.369234090844,0.419251918111,0.363085398631,0.371803833336,143.559170162,0.00335441069418,24.5442312882,0.00013254717934,398410.713106,81.7143347401,0.000205100746672,False,False,True,25,7.8481089603e-12,11,42,12.313834696,20.3224863445
