,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
10,10,246.772315896,-24.6547566182,36.4883189632,0.0169231500593,0.0075994787363,0.0113405078822,94.4333646984,0.00209945018917,4.38173858325,0.140304455744,0.312026333661,0.193888418934,0.243106841147,0.369832433419,0.277503720529,0.115923506049,0.301849882973,0.177046993619,7.744965371,249.119821257,0.000398423073331,0.623167784651,1.44218383545,0.811985462093,0.0170785556134,0.0395245348767,0.0222532987313,915.61927427,27.4753031841,63.5855047424,35.8002247573,0.0300073447078,0.0694453541218,0.0390994660809,False,True,False,10,3.83245025539e-10,0,1,12.7962621573,18.5946949779
11,11,246.729396764,-24.6144784559,15.5120659152,0.0133676700343,0.00762374203025,0.0100951309,61.5392495964,0.00161207782383,4.41881291428,0.183427394501,0.203223784152,0.388112408257,0.276818801605,0.290315253326,0.440016228464,0.16380816362,0.185707866985,0.379234422037,6.45173788248,297.915233563,0.00026300294735,0.71925228718,0.79109709957,1.81730353625,0.0463672789369,0.050998822716,0.117154191207,492.783548498,35.6237226792,39.1821120207,90.0089139139,0.0722908116307,0.0795118102869,0.182654056103,False,True,False,11,4.85251952516e-10,0,0,13.9544318375,20.2124715459
12,12,246.762522867,-24.4903092468,197163.623499,0.199976884515,0.114016082361,0.150998612362,120.915587422,0.1738419737,3.61652055453,0.177531811748,0.374025210036,0.906557225033,0.2729956698,0.427672712819,0.929975856572,0.157165265243,0.364798895501,0.90278977546,0.988096531811,172.878939708,0.00901166997812,10.4631536194,25.6787670645,121.421175347,5.30683775925e-05,0.000130240896413,0.000615839642182,418686.799897,34.6465224273,85.0298114097,402.060566809,8.27504531688e-05,0.000203086917072,0.000960289569453,False,False,True,12,7.50957502825e-12,12,42,13.9628895077,20.370108177
13,13,246.765548622,-24.4887011707,151018.292601,0.18733698214,0.113959519163,0.146112396483,118.647280431,0.147823787427,3.62864919561,0.175483522491,0.356499977416,0.87033982973,0.27108199551,0.412047588904,0.894529150357,0.155010519505,0.346880423762,0.866444004946,0.924937436297,169.308902248,0.00789853372545,9.98312572207,23.065344575,108.706168283,6.61054071672e-05,0.000152732123889,0.000719821197892,342332.642181,34.162487107,78.9301425826,371.995021982,9.97932504753e-05,0.000230565633706,0.00108664782772,False,False,True,13,8.97803841824e-12,11,38,13.8596152103,20.1846537493
14,14,246.764755645,-24.4896524169,170247.074631,0.19506229431,0.113361005871,0.14870258199,120.330338981,0.159370763468,3.62186034166,0.176518530092,0.360628489985,0.882627258214,0.272040933235,0.415812921491,0.906575068503,0.156101833602,0.351086739677,0.878771795138,0.935798088681,170.906318995,0.00827711833197,10.2321088148,23.9052120285,113.632923702,6.01015250156e-05,0.000140414818171,0.000667458891427,370636.858421,34.4046104574,80.3792769048,382.081205925,9.28256585274e-05,0.000216868007265,0.00103087752134,False,False,True,14,8.2698588787e-12,11,40,13.9104216791,20.2660082396
15,15,246.769533347,-24.4929459271,97670.8722347,0.172375199954,0.11313283502,0.139647037412,118.080769077,0.112620506576,3.66994756149,0.173738622556,0.33367363111,0.823836836354,0.269006630438,0.391813157449,0.849050405562,0.153297019338,0.32350109624,0.819769479856,0.773307300025,149.922857747,0.00603219753132,9.39584458026,19.9327806253,93.6002056118,9.6199044457e-05,0.000204081116194,0.000958322614207,240620.46357,33.6414031918,71.3684335688,335.131368865,0.000139811064665,0.0002966016793,0.00139277999839,False,False,True,15,1.20521439319e-11,10,33,13.6935492911,19.7891863086
16,16,246.769376726,-24.4935511489,119213.019985,0.175317540172,0.111939357798,0.140089017619,119.100659073,0.128028971358,3.66061199798,0.17505101801,0.33826068251,0.843450242597,0.270174510103,0.395944057078,0.868193364833,0.154694775183,0.328188823537,0.839461688405,0.773086902619,153.561957482,0.00606871142279,9.5076013506,20.4197243885,98.1782175712,7.97530450267e-05,0.000171287703232,0.000823552809784,288762.369846,33.9341424195,72.88124628,350.41368424,0.000117515805254,0.000252391772234,0.00121350189925,False,False,True,16,1.03777879005e-11,11,35,13.7493724049,19.9089004269
17,17,246.764504578,-24.4895466274,174626.064992,0.19564564739,0.113190802005,0.148812928662,120.393291204,0.161882605658,3.62047914126,0.176679458855,0.361468393192,0.897163409199,0.272183101824,0.416566212041,0.920744368728,0.156273375925,0.351944791293,0.893368859793,0.938283389624,171.062741885,0.00831142225676,10.2504070158,24.0097077943,117.299709108,5.86991811118e-05,0.000137492119492,0.000671719362821,379036.60489,34.4405795518,80.6707723926,394.118004946,9.08634657114e-05,0.00021283108637,0.00103978876937,False,False,True,17,8.1283229443e-12,11,40,13.9170873377,20.2720438996
18,18,246.77130185,-24.4912684198,133800.420231,0.173523018052,0.115616323402,0.141640719331,118.789420058,0.137476497209,3.64281174985,0.174282896225,0.349033247646,0.880609079274,0.269731293389,0.405221730266,0.904352140052,0.153810079425,0.339274550443,0.876786954235,0.888162130234,169.802257503,0.00712735663475,9.58139891318,21.6247803808,107.706371068,7.1609632441e-05,0.000161619674613,0.000804977823551,327448.240197,33.8228969692,76.336735943,380.209771512,0.000103292346139,0.000233126114518,0.00116112937814,False,False,True,18,9.52191728164e-12,11,36,13.7587988413,19.8911482633
19,19,246.790043811,-24.5066388359,51437.6473051,0.130516699304,0.0552762575597,0.0849380638264,50.8157467412,0.0798540875525,3.72934295756,0.16412461956,0.321572449539,0.765024268576,0.257840680324,0.378092271789,0.790447377878,0.143768257568,0.311674929118,0.760916915733,1.18976962566,137.115056768,0.00343342513887,5.25029084656,11.2895358362,49.3430978486,0.000102070975669,0.000219480019551,0.000959279835564,167362.166852,30.9065842217,66.4574592803,290.465167357,0.000184668881881,0.000397087708234,0.00173554855808,False,False,True,19,1.72154840263e-11,7,20,12.8382490318,18.6298292332
20,20,246.831021817,-24.4788219098,11905.6126248,0.075767393816,0.0433672514324,0.0573221040961,44.1252294064,0.0356156728521,3.75044798276,0.319503497073,0.373935096025,0.761275188653,0.384490928264,0.430787935433,0.790753249841,0.307946947059,0.364110276702,0.756497686989,3.11197408586,22.527472716,0.00409015917997,7.87902442764,9.89070653261,33.3259257943,0.000661790760033,0.000830759982228,0.00279917773612,66728.5479859,68.7258829023,86.2730589585,290.690007981,0.00102993224005,0.00129289579292,0.0043563065098,False,False,True,20,3.80527309738e-11,4,17,14.8529809061,17.7872092285
21,21,247.074470344,-24.6098302266,474.415022564,0.052404326565,0.0166896009633,0.0295737603142,80.4746694383,0.0123717600433,3.89708983208,0.116353301285,0.291931850127,0.337625763236,0.224054454872,0.349122490176,0.38814103626,0.0879055486411,0.281804009696,0.32890796701,4.83086340853,36.6853175718,0.00169004335927,1.38035834179,3.35150854117,4.14251223054,0.00290960082658,0.00706450761837,0.00873183190565,3844.44422302,23.3375520585,56.6635508228,70.0369548297,0.00607046186774,0.0147390747624,0.0182177060628,False,True,False,21,1.07023112195e-10,1,2,11.9024080183,17.728107246
22,22,246.764194402,-24.4903197133,179204.465557,0.195666073954,0.11449824339,0.149677726328,120.704049636,0.164206996939,3.62431900703,0.176767612364,0.366435439962,0.898895636298,0.272249665981,0.420889562125,0.922435069152,0.156370458034,0.357043222909,0.895107980258,0.970511638074,172.192291675,0.00869711261983,10.3150186418,24.6531045297,118.415053961,5.75600535944e-05,0.000137569699801,0.000660781825903,388933.697678,34.4574269494,82.3539518354,395.566718127,8.85946040549e-05,0.000211742907151,0.00101705437325,False,False,True,22,7.97337380941e-12,11,40,13.9187372428,20.2780484235
23,23,246.763382133,-24.4885296174,78312.3658746,0.159433888467,0.114522785946,0.135125175602,113.736843209,0.0965372185201,3.68365352712,0.171963722657,0.332176219604,0.811508523982,0.267545316791,0.390320401077,0.836991672074,0.151371759178,0.321998336079,0.807395796411,0.883962399464,137.089874188,0.00645604168912,8.9930934554,19.140659727,88.0149960137,0.000114836186533,0.00024441426987,0.00112389652682,208589.278632,33.2768983106,70.8256608799,325.679488007,0.000159533119482,0.00033954602722,0.00156134337366,False,False,True,23,1.3942277111e-11,10,32,13.63820183,19.7874877488
24,24,246.998638498,-24.5618468422,248.413343381,0.0281076252401,0.0151092307121,0.0206078770018,168.985005153,0.00742305602601,4.10120867189,0.128126051872,0.202130267078,0.168903036752,0.225921880262,0.274738158402,0.251301903369,0.104539808677,0.188066294958,0.151791048003,2.10848429511,274.146603897,0.00035817631917,0.977975488286,1.44626990028,1.2100489471,0.00393688791019,0.00582202984992,0.00487111090986,3753.12510776,23.7281959758,35.0902206024,29.3588938587,0.00632225020336,0.00934960055819,0.0078225193714,False,True,False,24,2.39305889085e-10,0,1,11.2408052589,17.0139335868
