,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
12,12,246.762522867,-24.4903092468,255203.660809,0.236013203939,0.110037412477,0.161152977856,120.915587422,0.198009214789,3.61652055453,0.177531811748,0.443404889167,0.971440386224,0.2729956698,0.489506881754,0.993330516764,0.157165265243,0.435650401301,0.967925513872,0.988096531811,172.878939708,0.0102644583372,11.166780523,35.903275123,147.844107344,4.37563492922e-05,0.000140684796641,0.000579318129197,459190.479645,34.6465224273,111.395009886,458.707339173,7.54513082546e-05,0.000242589981335,0.000998947843011,True,False,False,12,5.80169978288e-12,12,42,13.9628895077,20.370108177
13,13,246.765548622,-24.4887011707,317560.843834,0.241959643959,0.104145628174,0.158742052125,118.647280431,0.174483425151,3.62864919561,0.175483522491,0.417898896627,0.699163214492,0.27108199551,0.46618716137,0.729054306703,0.155010519505,0.409723421705,0.694307565125,0.924937436297,169.308902248,0.0093230138537,10.8460466181,32.07677789,78.4494455426,3.41542316338e-05,0.000101009864764,0.000247037527031,557347.793981,34.162487107,101.034280018,247.097238861,6.12947381795e-05,0.000181276899467,0.000443344786738,True,False,False,13,4.2695693098e-12,11,38,13.8596152103,20.1846537493
14,14,246.764755645,-24.4896524169,270810.952057,0.240173581834,0.106658356585,0.160051615217,120.330338981,0.184625530806,3.62186034166,0.176518530092,0.420906285128,0.87600561901,0.272040933235,0.469051786853,0.900129614237,0.156101833602,0.412760332212,0.87212088355,0.935798088681,170.906318995,0.00958875600726,11.0130269492,32.7400832519,120.572506799,4.06668447697e-05,0.000120896451946,0.000445227587302,478832.108807,34.4046104574,102.27976521,376.667572632,7.1851093159e-05,0.000213602562003,0.000786638084004,True,False,False,14,5.19890082367e-12,11,40,13.9104216791,20.2660082396
15,15,246.769533347,-24.4929459271,84360.205189,0.197899385996,0.108090944881,0.146257073756,118.080769077,0.123534363874,3.66994756149,0.173738622556,0.377157698456,0.788007055101,0.269006630438,0.429450099262,0.814330754142,0.153297019338,0.368188534144,0.783753778976,0.773307300025,149.922857747,0.00661676729617,9.84058637577,25.079589487,90.1771866514,0.000116649625896,0.00029729170799,0.00106895409334,181023.70804,33.6414031918,85.7380393403,308.283163116,0.000185839764062,0.000473628787459,0.00170299883067,True,False,False,15,1.39537760428e-11,10,33,13.6935492911,19.7891863086
16,16,246.769376726,-24.4935511489,195588.191231,0.200988067262,0.105552283291,0.145652838674,119.100659073,0.13840060319,3.66061199798,0.17505101801,0.386290219871,0.963081959849,0.270174510103,0.437688863202,0.984823978379,0.154694775183,0.377501984803,0.959590785673,0.773086902619,153.561957482,0.00656033796565,9.88520834272,25.9434706471,131.345231446,5.05409262211e-05,0.000132643338454,0.000671539680484,413251.684427,33.9341424195,89.0592688866,450.88455756,8.21149524569e-05,0.00021550854417,0.00109106526253,True,False,False,16,6.32536876891e-12,11,35,13.7493724049,19.9089004269
17,17,246.764504578,-24.4895466274,10119.014468,0.239448931342,0.105547151333,0.158975320704,120.393291204,0.184747375765,3.62047914126,0.176679458855,0.430685991511,1.86787125853,0.272183101824,0.477868635737,1.87931132285,0.156273375925,0.422724685967,1.86605165397,0.938283389624,171.062741885,0.00948535171254,10.9504043589,33.7539725282,522.041824854,0.00108216115251,0.00333569762499,0.0515901846473,17945.9969543,34.4405795518,106.16104556,1641.89580667,0.00191912322506,0.00591558361623,0.0914909219504,True,False,False,17,1.40272262208e-10,11,40,13.9170873377,20.2720438996
18,18,246.77130185,-24.4912684198,395304.250377,0.199589819797,0.110684116853,0.148631836889,118.789420058,0.151382579441,3.64281174985,0.174282896225,0.388999785183,0.818292458188,0.269731293389,0.44011507085,0.843790844845,0.153810079425,0.380268123156,0.814177842823,0.888162130234,169.802257503,0.00784830610229,10.0543186109,26.7684025319,98.3919553964,2.54343802307e-05,6.77159491867e-05,0.000248901840298,841076.25813,33.8228969692,90.0493564908,330.992193381,4.02138291769e-05,0.000107064437523,0.000393534106071,True,False,False,18,3.22292647365e-12,11,36,13.7587988413,19.8911482633
19,19,246.790043811,-24.5066388359,89349.2828755,0.128016690904,0.0756513064463,0.0984105172926,50.8157467412,0.107195231621,3.72934295756,0.16412461956,0.380515648332,0.770779660155,0.257840680324,0.429344947926,0.796018976025,0.143768257568,0.372188903332,0.766703140496,1.18976962566,137.115056768,0.00460899140288,6.08306588201,16.8667868685,57.9784345477,6.80818657547e-05,0.000188773612117,0.000648896473276,296392.186248,30.9065842217,85.6960583711,294.574381594,0.000104275975062,0.000289130626067,0.000993866894143,True,False,False,19,9.91081256652e-12,7,20,12.8382490318,18.6298292332
20,20,246.831021817,-24.4788219098,17312.9403869,0.079444672329,0.0515733682936,0.0640096035372,44.1252294064,0.044410655262,3.75044798276,0.319503497073,0.428555322138,0.579172128767,0.384490928264,0.478968113143,0.617406789739,0.307946947059,0.420010120942,0.572877990764,3.11197408586,22.527472716,0.00510018861817,8.79823303464,13.6532634107,22.6864252338,0.000508188259071,0.000788616093257,0.00131037390107,92544.013756,68.7258829023,106.650116984,177.211105679,0.000742629156798,0.00115242588533,0.00191488458828,True,False,False,20,2.61677718611e-11,4,17,14.8529809061,17.7872092285
21,21,247.074470344,-24.6098302266,506.513772625,0.0547237663385,0.0167814504946,0.030304194028,80.4746694383,0.0129904401555,3.89708983208,0.116353301285,0.281703004811,0.329731956147,0.224054454872,0.340615459056,0.381294467483,0.0879055486411,0.271193432224,0.320799715814,4.83086340853,36.6853175718,0.00177455810991,1.41445141144,3.26895977217,4.0963954409,0.00279252310181,0.00645384182789,0.00808743150196,3930.58828019,23.3375520585,53.9357649496,67.5879292007,0.00593741964176,0.013722059169,0.0171953723928,True,False,False,21,1.00240852137e-10,1,2,11.9024080183,17.728107246
