,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,66.6456833526,24.6982543396,15.6106967976,0.0194520593398,0.0102610910325,0.0141279634645,15.6859915938,0.00246071512376,6.47898357712,0.253668120377,0.214976234227,0.266316789018,0.251605029406,0.689416506636,29.8013749991,5.50428350978e-05,0.931654280094,0.0596805057566,340.799523492,32.9719949529,0.0967489467564,False,True,False,0,2.00583675813e-10,2.13525912992,13.5995543493
1,1,68.2827179471,24.2502658199,0.0681578302061,0.00471202620644,0.00398632411305,0.00433401242362,89.6316824472,0.000241246580761,6.69109361346,0.257563387868,0.21181458016,0.269476747773,0.255624240493,10.8338217848,0.526474181849,8.1399545945e-05,0.292624628395,4.29333838108,6.14257312229,33.7590897064,5.49591987499,True,False,False,1,7.320983438e-09,2.03841676901,15.4476248907
2,2,67.4645252351,24.4890493908,2.27112549763,0.0121347610091,0.00538741733336,0.0080854821623,59.9089121686,0.000868487690738,6.35783124041,0.292232406646,0.252436369725,0.303994620103,0.290324437049,9.9513849685,284.063070407,0.00026022880369,0.694729671203,0.305896645486,79.4789610967,42.9615486905,0.540539887509,False,True,False,2,3.70225933672e-10,2.27675210681,13.6125433084
3,3,67.4150947439,24.5208815395,8.10418256264,0.0147292651172,0.011634406732,0.0130906936882,168.989221263,0.00173697538148,6.44078190888,0.308282344726,0.232260895192,0.316121984952,0.307021442261,4.25190716434,88.2834475012,0.000291453373552,1.21632655912,0.150086273319,233.652489421,46.4576816209,0.198832384521,False,True,False,3,5.80363363821e-10,1.58919456274,13.9668369694
4,4,68.1942922665,24.3974363337,11780.6540129,0.0860417459802,0.0391376586814,0.0580299275075,174.599801123,0.0643163384308,6.21678342334,0.163799864616,0.182250745572,0.189972164481,0.159257364366,1.20146538095,115.705589909,0.00161836064554,1.94719792702,0.000165287761179,58143.6729395,16.777531962,0.000288553012113,False,False,True,4,2.31679597602e-11,3.00594072294,13.7841786951
5,5,67.4607814013,24.4706547221,0.660980310648,0.0111918853019,0.00432893370461,0.00696052652475,178.068941121,0.000482493161521,6.46021745315,0.258575042577,0.207576472784,0.27090682573,0.256566135965,9.42517761044,311.175518719,0.000182655906236,0.474963369108,0.718574156381,25.0800009225,34.1183506319,1.36038075666,False,True,False,5,3.70176104597e-09,2.1197859238,13.750771085
6,6,68.1944225915,24.3976118936,11525.2366841,0.0853081532947,0.0385822512938,0.0573705552338,175.11019086,0.0633996014239,6.21559236165,0.162773301867,0.178202613931,0.189371786297,0.158147471099,1.31655884114,114.117913586,0.00173331849551,1.91292407579,0.000165976988432,57372.2111615,16.6716538475,0.00029058761219,False,False,True,6,2.36784301089e-11,3.04083992345,13.7780137968
7,7,67.3875738191,24.540076005,1.51040756507,0.00771316435301,0.00632367273313,0.00698394781662,29.0383248918,0.00067549042613,6.52206621059,0.49951112543,0.308126182963,0.511503687377,0.497583857915,24.0211047286,288.704779095,0.000468656817916,1.69893456407,1.12481862734,83.1579630372,121.631390202,1.4626547568,False,True,False,7,1.25432605902e-09,3.93626674475,13.6344277519
8,8,67.3484761295,24.5776002146,2109.72235896,0.0391038019037,0.0230188930632,0.0300021038327,15.2406043623,0.0196857209901,6.34353223441,0.131725281474,0.134061212521,0.171515680611,0.124254437845,0.827056101722,82.0389958868,0.000297781957788,0.82061131397,0.000388966496224,22911.2401453,13.6758961729,0.00059690772242,False,False,True,8,5.51503440534e-11,3.91724913585,13.4813979672
9,9,66.7454618289,24.6888549789,430.860758295,0.0409188526928,0.0218256686252,0.0298844661889,32.5564912921,0.0147160414264,6.63789037463,0.0920284398419,0.0936931496678,0.121163645083,0.0865145851943,1.03255701802,126.704451628,0.000368862953601,0.407913699975,0.000946741359296,4471.5260916,6.8248450114,0.00152628987768,False,True,False,9,4.29640474512e-11,2.0165276933,13.6797450585
