,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3
0,0,66.6456833526,24.6982543396,15.6106967976,0.0194520593398,0.0102610910325,0.0141279634645,15.6859915938,0.00246071512376,6.47898357712,0.214976234227,0.229764875687,0.212537894996,0.689416506636,29.8013749991,5.50428350978e-05,0.693465674106,0.0444224676898,340.799523492,24.5423084455,0.0720139165514,False,True,False,0,2.00583675813e-10
1,1,68.2827179471,24.2502658199,0.0681578302061,0.00471202620644,0.00398632411305,0.00433401242362,89.6316824472,0.000241246580761,6.69109361346,0.21181458016,0.226150912421,0.20945230943,10.8338217848,0.526474181849,8.1399545945e-05,0.206093819982,3.02377319465,6.14257312229,23.7763300884,3.87074433061,False,False,False,1,7.320983438e-09
2,2,67.4645252351,24.4890493908,2.27112549763,0.0121347610091,0.00538741733336,0.0080854821623,59.9089121686,0.000868487690738,6.35783124041,0.252436369725,0.265964415509,0.250225138653,9.9513849685,284.063070407,0.00026022880369,0.531778923833,0.234147749382,79.4789610967,32.8847997657,0.413754776257,False,True,False,2,3.70225933672e-10
3,3,67.4150947439,24.5208815395,8.10418256264,0.0147292651172,0.011634406732,0.0130906936882,168.989221263,0.00173697538148,6.44078190888,0.232260895192,0.242570049131,0.230584659883,4.25190716434,88.2834475012,0.000291453373552,0.716168379098,0.0883702179168,233.652489421,27.3541034631,0.117071739877,False,True,False,3,5.80363363821e-10
4,4,68.1942922665,24.3974363337,11780.6540129,0.0860417459802,0.0391376586814,0.0580299275075,174.599801123,0.0643163384308,6.21678342334,0.182250745572,0.206093090353,0.178179254455,1.20146538095,115.705589909,0.00161836064554,2.29169606811,0.000194530462027,58143.6729395,19.7458119159,0.000339603793803,False,False,True,4,2.31679597602e-11
5,5,67.4607814013,24.4706547221,0.660980310648,0.0111918853019,0.00432893370461,0.00696052652475,178.068941121,0.000482493161521,6.46021745315,0.207576472784,0.22274974217,0.205068577636,9.42517761044,311.175518719,0.000182655906236,0.321110599522,0.485809629045,25.0800009225,23.0665452089,0.91971867466,False,True,False,5,3.70176104597e-09
6,6,68.1944225915,24.3976118936,11525.2366841,0.0853081532947,0.0385822512938,0.0573705552338,175.11019086,0.0633996014239,6.21559236165,0.178202613931,0.202787320256,0.173987489282,1.31655884114,114.117913586,0.00173331849551,2.19355624226,0.00019032635098,57372.2111615,19.1174395412,0.000333217757416,False,False,True,6,2.36784301089e-11
7,7,67.3875738191,24.540076005,1.51040756507,0.00771316435301,0.00632367273313,0.00698394781662,29.0383248918,0.00067549042613,6.52206621059,0.308126182963,0.327210027962,0.304991927526,24.0211047286,288.704779095,0.000468656817916,0.695236115259,0.460297029316,83.1579630372,49.7738623995,0.59854595497,False,True,False,7,1.25432605902e-09
8,8,67.3484761295,24.5776002146,2109.72235896,0.0391038019037,0.0230188930632,0.0300021038327,15.2406043623,0.0196857209901,6.34353223441,0.134061212521,0.17331614933,0.126728150967,0.827056101722,82.0389958868,0.000297781957788,0.837930312111,0.000397175632401,22911.2401453,13.964525901,0.000609505457254,False,False,True,8,5.51503440534e-11
9,9,66.7454618289,24.6888549789,430.860758295,0.0409188526928,0.0218256686252,0.0298844661889,32.5564912921,0.0147160414264,6.63789037463,0.0936931496678,0.122432844632,0.0882833280199,1.03255701802,126.704451628,0.000368862953601,0.41650432111,0.000966679636267,4471.5260916,6.9685755549,0.00155843338765,False,True,False,9,4.29640474512e-11
10,10,68.911138096,24.1429348654,10461.0753337,0.0828529683965,0.0514522914632,0.0652914625241,54.9486743733,0.0630618562108,5.95463468209,0.227749399232,0.244040750164,0.225059100912,1.61680792358,148.05324089,0.00275696475399,3.61542392875,0.000345607293076,53617.9904435,27.6868045912,0.000516371545486,False,False,True,10,1.4381425655e-11
11,11,68.2166494412,24.2501515233,0.173720871731,0.00579047353908,0.00476303435393,0.00525168776606,87.9081991524,0.000385994529217,6.57263590763,0.155347175224,0.207397121884,0.145396953272,6.02581155543,53.5962928011,6.64772939374e-05,0.210030553417,1.20901162494,12.7403158421,19.9964813954,1.56954361597,False,False,False,11,6.8782313626e-09
12,12,68.2070594738,24.2683137903,0.178353868845,0.00713491626576,0.00515612123902,0.00606535186914,24.9016174719,0.000385994529217,6.53176601456,0.216089862832,0.216089862832,0.216089862832,2.95975663078,31.825965921,4.35539947883e-05,0.263331562981,1.4764555694,10.6153893987,21.7078554272,2.04494198112,False,False,False,12,2.92976169312e-22
13,13,68.253702056,24.3265835977,0.380255295459,0.0108878162999,0.0038903447294,0.00650825312637,132.854644022,0.000482493161521,6.50036878697,0.265299068569,0.282633335594,0.262446626643,13.4362883043,72.6063106015,0.000227650273626,0.483380728931,1.27120051898,14.8312160682,37.1359810033,2.50390668119,False,True,False,13,2.11982743944e-10
14,14,68.1329332331,24.4365110253,0.049440268307,0.00450337783084,0.00338122380889,0.00390216969673,15.2867110697,0.000192997264609,6.51680309957,0.241031974189,0.257527814836,0.238312701026,10.4574241883,354.483593077,6.36937795032e-05,0.240620467452,4.8668924278,4.66213354314,30.8316252435,6.61320079276,False,False,False,14,8.17196878467e-10
15,15,68.7523919533,24.0528060921,0.480463135872,0.00768098503112,0.00540086118092,0.00644080227036,77.0492155511,0.000627241109978,6.48475095733,0.210685350985,0.227626410911,0.207873604842,2.44844624484,144.236094682,4.06284728576e-05,0.310286868744,0.645807858247,26.5635080577,24.0875946598,0.906792679921,False,True,False,15,2.74786568166e-09
16,16,68.1815290249,24.2639617489,1.98702952662,0.019824384921,0.00587138418031,0.0107887246702,7.27622489319,0.00135098085226,6.35636396523,0.201000029743,0.221760894613,0.197509343754,4.66641328943,28.6287003143,0.000217261819121,0.49330801129,0.248264056815,42.5644352018,22.8622022699,0.537119831652,False,True,False,16,3.87973427209e-10
17,17,68.1941835619,24.3999030757,10332.2341265,0.0801720939306,0.0369191188862,0.0544048073903,176.644324895,0.0592019109187,6.21063216976,0.162249996745,0.18979994238,0.157441571359,1.44490990331,113.669721881,0.00171070574256,1.8222483186,0.000176365372318,54728.4675945,16.7471259068,0.000306003925249,False,False,True,17,2.61860759723e-11
18,18,68.1937957332,24.4021181812,8819.29136332,0.0737902570402,0.0355670194096,0.0512298692599,178.943999456,0.0535084916127,6.20622822745,0.153678772261,0.183367676117,0.14842911564,1.54278344808,112.586789754,0.00161961375795,1.60157373591,0.000181598914237,50754.7792785,15.6312494942,0.000307975913134,False,False,True,18,3.01650275337e-11
19,19,68.1935365083,24.4028335317,8250.16982317,0.0722923270429,0.0349045563599,0.0502327741983,0.144093923693,0.0512890230697,6.20500595649,0.151610827752,0.182703928932,0.146076455753,1.60529687356,112.232951017,0.00162027853372,1.55905366843,0.00018897231231,48463.2973755,15.5182915269,0.000320207092115,False,False,True,19,3.21619038105e-11
20,20,68.1938751715,24.4016007769,9166.64423108,0.0754468664108,0.0358078750312,0.0519768406498,178.349236709,0.054859472465,6.20724626139,0.155437347557,0.184878300005,0.150242461041,1.53799277573,112.391068523,0.0016620115694,1.65180921498,0.000180197809944,51595.4548632,15.8898578129,0.000307970108123,False,False,True,20,2.92420406441e-11
21,21,67.9876175107,24.5333180363,1806.51907006,0.0510581331934,0.0275408588403,0.0374991311756,137.915876085,0.0251861430314,5.84276292041,0.172992404994,0.198288944765,0.16863507451,0.739413115486,315.684919102,0.00041590060508,1.3708702048,0.000758846240553,15025.1873,18.27869289,0.00121653677422,False,False,True,21,8.32820573024e-11
22,22,67.423542592,24.5024513787,0.403006195346,0.00739567401404,0.00412403760448,0.00552268392581,50.7768624896,0.000385994529217,6.51442530603,0.171197630107,0.171197630107,0.171197630107,9.32527953968,224.500941276,0.000113768551175,0.150495603839,0.373432482124,23.1406864816,13.625223339,0.588799444209,False,False,False,22,1.29659131496e-22
23,23,67.3764770711,24.5451441438,0.244447567454,0.0044207228659,0.00418141585048,0.00429940468694,177.345343584,0.000241246580761,6.46555067417,0.197639519733,0.197639519733,0.197639519733,18.6853991875,118.234174028,0.000138158949642,0.156147139933,0.63877559331,23.4819795725,18.1591582211,0.773323141902,False,False,False,23,1.33600821386e-22
24,24,68.2501435255,24.3150305522,0.485324316894,0.00737489632082,0.00510596953979,0.00613644815616,89.6259965192,0.000530742477674,6.40949282118,0.200332568445,0.208895149385,0.198941631229,10.2830409689,138.86764185,0.000154887259727,0.24897280331,0.513002943894,27.9459198215,20.2863934457,0.725916111376,False,True,False,24,7.72993531891e-11
25,25,68.1932177971,24.4045915961,7013.63545574,0.066663666925,0.0335234486507,0.0472736291713,3.34575474622,0.0463675928222,6.20116017922,0.146085007439,0.179123237843,0.140135421517,1.64605476946,112.301477918,0.00147143865572,1.41026567206,0.000201074846413,44678.2615374,14.9159869549,0.000333853342579,False,False,True,25,3.72641038784e-11
