,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
10,10,83.8440185749,-5.112204951,705199.220684,0.670578264487,0.169463649419,0.337103307491,174.279143888,1.02004801375,11.1340289808,0.338517247936,0.473796087205,0.416949696016,0.324349725837,0.731665868162,74.8636650497,0.0332582056539,54.4889532798,7.72674609976e-05,446585.509397,80.8193691206,0.000180971767825,False,False,True,10,2.23207119383e-11,19.2365093918,26.8212834425
11,11,83.8402982754,-5.10623511525,889270.502432,0.694235317922,0.204464503439,0.37675785267,170.985252237,1.19973618699,11.1236226651,0.339925679903,0.485553581117,0.414274247478,0.326591798352,1.61135857149,85.2770910286,0.0914906706052,60.1196323037,6.76055622438e-05,543963.123577,79.7855066294,0.000146674476947,False,False,True,11,1.92766939132e-11,18.2043058694,27.0334133747
12,12,83.8403567146,-5.10642089909,869477.722059,0.694046340241,0.204080768393,0.376352906747,170.994222608,1.18113210845,11.1242154669,0.339063697389,0.483778876326,0.413918868748,0.325623727021,1.57523023522,85.069374202,0.0892471959081,59.9520243423,6.89517658949e-05,532000.776744,79.6486798262,0.000149715344992,False,False,True,12,1.94502528599e-11,18.2987642483,26.9922049443
13,13,83.8821689189,-5.01155208559,2.39671731887,0.0153418556673,0.0106456093907,0.0127798044884,179.6009509,0.00272254807941,13.0949232039,0.163344864581,0.125478920295,0.188129087947,0.159062610812,1.18016243848,89.6404603434,7.7099258106e-05,0.420546708739,0.175467797319,66.3408753212,16.4535658241,0.248015506947,True,False,False,13,1.31951485607e-08,2.82802661131,23.306029955
14,14,83.8777747577,-5.01836393172,0.0465332085797,2.4962427103e-15,1.3443197355e-31,1.83187017554e-23,165.963756532,0.000453758013235,12.6421776952,0.535918097671,0.340028145945,0.535918097671,0.535918097671,2.00490084908e+11,345.963756532,2.69117707849e-35,4.89181097384e-21,1.05125159497e-19,7.91623112629e+12,133.519586681,1.68665599262e-11,True,False,False,14,1.32006400718e-21,0.0,25.1294265879
15,15,83.8764837911,-4.98312657548,1876.35301551,0.0860060947638,0.0433123133482,0.0610337851216,144.711836116,0.0603498157603,11.8270521585,0.442225016998,0.391446025511,0.50336134214,0.431741310065,7.60752371095,259.111652372,0.0113355843951,14.3783201942,0.00766290781921,9264.61970799,117.789845129,0.0127139428105,False,False,True,9,3.80136175437e-10,18.7678948074,24.338538697
16,16,83.8260784535,-4.94306592131,300.955506976,0.0834431904871,0.0313109624642,0.0511144461501,118.628436905,0.0408382211912,12.2022427312,0.38077107355,0.402275450942,0.453343848771,0.367957079985,31.5094772046,67.4419843756,0.0329297556122,9.76736107139,0.0324545018947,1531.62931271,95.5440370292,0.0623806532276,False,False,True,16,1.65998404717e-09,19.6523574082,37.5487059512
17,17,83.8438876117,-5.11168536243,755972.158865,0.671040667875,0.170547542457,0.338296226398,174.263288093,1.0695076372,11.1318607465,0.339924166236,0.478665049291,0.416887664956,0.326062474359,0.84956303051,80.0327204702,0.0388910710368,54.6655060002,7.23115333801e-05,478408.884642,80.7953233507,0.000168883409034,False,False,True,17,2.143650603e-11,18.9098353331,26.9527551379
18,18,83.8235780251,-4.94161639732,12.1802223539,0.0258903663069,0.0165350545398,0.0206905441915,141.267130119,0.00726012821176,12.5090424124,0.448673460145,0.252323333552,0.519732598915,0.436350027824,3.29410238388,288.761434933,0.000564080272473,5.19648834277,0.426633290574,199.783352906,125.576405692,0.628562910101,False,True,False,16,1.18369173762e-08,22.3404784384,34.5332415301
19,19,83.8038502848,-4.91025770984,0.500356400205,0.012638708521,0.012166837165,0.0124005285593,9.63615221849,0.00226879006618,12.5881664372,0.24534958176,0.241982594324,0.361279111039,0.221472880887,484.756672028,142.0526219,0.0298170161392,1.50488747878,3.00763111687,16.8119866798,60.6783602644,3.60923199739,True,False,False,19,4.64143320622e-08,22.8313742235,62.6073721819
