,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
10,10,52.3443752979,31.276013533,0.215200933728,0.00836847143701,0.00807350034292,0.00821966282863,83.015324474,0.000894829567047,8.90473975791,0.220941963352,0.155443942346,0.220941963352,0.220941963352,2.82832544687,96.9804144319,7.6435899105e-05,0.373068473029,1.73358203687,10.920443825,22.693660361,2.07808956529,True,False,False,10,5.62898194546e-22,0.0,16.5051779976
11,11,52.2649370757,31.2662837827,117024.783202,0.210373760643,0.129605707699,0.165123105983,162.835624055,0.264153688192,7.8404220115,0.33998937688,0.516599608644,0.389022884974,0.331552853514,1.29016350475,27.4913930995,0.0140708535315,23.2346576728,0.00019854476152,236226.46485,70.3555614899,0.000297830988305,False,False,True,11,3.35428358991e-11,11.6049381728,15.2040787843
12,12,52.2641578498,31.2648675119,230262.982611,0.220389140512,0.141244670907,0.176433533159,167.173120542,0.41734851007,7.84747609944,0.351945577427,0.536172794665,0.3894990117,0.345619232904,0.854801793031,7.18296684665,0.0106435787577,24.8869674525,0.00010808062664,443686.495796,70.5278838067,0.000158958824474,False,False,True,12,2.90118722002e-11,9.03947882335,15.3621780582
13,13,52.2650409667,31.2665134798,124792.057247,0.211147119143,0.130610286423,0.16606620881,163.307470137,0.274891642997,7.84153166524,0.34107054038,0.518103032264,0.389451832159,0.332757285753,1.27502799547,27.4365658718,0.0140650815349,23.4189221163,0.000187663563155,250982.857717,70.510798928,0.000280938704617,False,False,True,13,3.17806557818e-11,11.4742950399,15.2412233268
14,14,52.2773337518,31.2752072573,55601.5088881,0.224507358324,0.0731836815655,0.128180634343,157.605067334,0.165006572163,7.90204830941,0.356033425952,0.505846469034,0.407651902304,0.347148351653,2.35867175144,49.2448405546,0.0155014502239,19.8052118224,0.000356199179096,105171.549788,77.2550858555,0.000734562588561,False,False,True,14,5.17626669055e-11,12.7977805914,15.1338688932
15,15,52.2794245536,31.2728700216,48986.4310609,0.214540090694,0.0702071802109,0.122728378177,159.873050712,0.150689299091,7.8902195022,0.360866670659,0.507035193457,0.413303091153,0.351839160768,2.81433085763,55.9387089506,0.0169560673987,19.4921807821,0.000397909795834,96963.7974976,79.4118730799,0.000818984766782,False,False,True,15,5.67143968054e-11,13.1790551006,15.1746596319
16,16,52.1479806455,31.263242964,14624.8783125,0.246443527045,0.0436568785695,0.10372538327,13.5378857219,0.139951344286,7.80690636707,0.224989035323,0.465451511712,0.263322393355,0.218296365981,1.80994512809,5.77251959183,0.00778924737158,6.68711457533,0.000457242407932,25200.9621156,32.2347065132,0.00127910618513,False,False,True,16,8.03721858971e-11,6.07699370255,14.3095230074
17,17,52.2650326142,31.2663033313,130052.111057,0.211909102172,0.130785375537,0.166477060003,163.681352347,0.2829451091,7.84035868685,0.340893045373,0.518810782107,0.388497022382,0.332723471619,1.26974720416,27.6767962536,0.0140762201903,23.3618867993,0.000179634814148,260621.398425,70.1654834572,0.000269223800813,False,False,True,17,3.05914037728e-11,11.2724447127,15.2383273995
18,18,52.1840565234,31.3995493999,30.0376211174,0.0415159658689,0.0237494244939,0.0314003231941,19.8324789844,0.00841139793024,8.42308038991,0.296140356639,0.231818760127,0.313299947931,0.293328544786,111.128909601,134.065435235,0.0438283661038,2.86571430864,0.0954041699054,307.250546987,45.6319237691,0.14851698139,False,False,True,18,3.26804037838e-10,3.3951044821,15.3764709363
19,19,52.1800584302,31.3905619345,4.4855063734,0.0227726645059,0.0117124137995,0.0163316523968,98.0433982257,0.00322138644137,8.52794876524,0.342383894526,0.220154660689,0.351791277405,0.340869059207,62.5101150233,91.1581171479,0.00666915091344,1.87922330824,0.418954550903,83.6449846982,57.5331651257,0.687825639915,False,False,True,18,1.11552128863e-10,2.12008331717,15.2023230995
20,20,52.2650038584,31.266326192,131030.976005,0.211967193782,0.130812702114,0.16651727051,163.624961209,0.284376836407,7.84072200185,0.340878708643,0.519009449677,0.388359256431,0.332731945551,1.26886781394,27.0502911454,0.0140732673974,23.3509596748,0.000178209461508,262511.057605,70.1157291471,0.000267096288388,False,False,True,20,3.03848818371e-11,11.2408725383,15.2353648408
21,21,52.27927973,31.2726342701,35128.7232521,0.206136164668,0.067653646734,0.11809260461,160.627075511,0.121338889292,7.88809263756,0.358200634727,0.48459579554,0.413527150325,0.348626639633,2.71289623613,56.3769691571,0.0151334719829,18.7762512143,0.000534498537837,72368.6465262,79.4979976788,0.00109851436354,False,False,True,21,7.33158654485e-11,13.8615721058,15.1472921079
22,22,52.2879141132,31.2532398552,13937.5714282,0.121199697653,0.0635323357666,0.0877502130258,165.634625376,0.0710494676235,7.87605660345,0.384495348717,0.521512756655,0.433962494231,0.37605826469,3.53362411155,36.1007321206,0.0108837034475,15.3649340808,0.0011024111453,48834.6237091,87.5492694036,0.00179277043118,False,False,True,22,1.31705491914e-10,13.1440195683,14.8950688411
23,23,52.2950161152,31.2998968231,652.890756462,0.0592985804864,0.0253021680692,0.0387347731338,26.4750822513,0.0180755572543,8.53658407072,0.255102830721,0.183970223304,0.3266835595,0.241820341639,1.37697282077,12.5566885424,0.000826394451776,3.84356033762,0.00588698844268,4675.61236814,49.6138227575,0.0106111924709,False,False,True,23,4.5866424177e-10,13.5199381635,15.3307804113
24,24,52.1740795162,31.3904009952,0.502760746588,0.00986516844654,0.00668397168775,0.008120252865,58.5681080832,0.00107379548046,8.61660000726,0.351559088776,0.138028332318,0.351559088776,0.351559088776,185.600200531,41.8232861429,0.00489528001845,0.933134705638,1.85602140177,21.6420867378,57.4572443218,2.65488467068,True,False,False,18,2.89130488923e-22,0.0,15.1182395068
25,25,52.2861958603,31.2449434379,7638.97685229,0.0986907004944,0.0323449361746,0.0564990655543,137.796349102,0.049394592101,7.75427777118,0.410953896751,0.460636611543,0.457400311414,0.403101464264,4.56396761898,38.6845740616,0.00582753748622,10.9903697963,0.0014387227516,32870.1161307,97.2615182967,0.00295896485154,False,False,True,25,1.95162344724e-10,13.0937528877,14.7360445578
